_id,Date,Rain,Temp Max,Temp Min
293,20-10-1951,,31.46999931,22.77000046
294,21-10-1951,,33.36000061,22.95999908
295,22-10-1951,,33.77000046,23.54999924
296,23-10-1951,,34.59999847,23.68000031
297,24-10-1951,,33.81000137,22.36000061
298,25-10-1951,,33.34999847,22.35000038
299,26-10-1951,,33.95999908,22.06999969
300,27-10-1951,,34.40000153,21.48999977
301,28-10-1951,,34.29999924,20.71999931
302,29-10-1951,,34.34999847,20.35000038
303,30-10-1951,,34.43000031,20.15999985
304,31-10-1951,,34.22000122,20.40999985
305,01-11-1951,,34.20000076,18.39999962
306,02-11-1951,,34.25999832,20.84000015
307,03-11-1951,,34.38000107,21.43000031
308,04-11-1951,,34.31000137,20.79000092
309,05-11-1951,,34.13000107,18.23999977
310,06-11-1951,,34.24000168,18.21999931
311,07-11-1951,,34.34999847,20.52000046
312,08-11-1951,,34.40000153,21.43000031
313,09-11-1951,,34.29000092,20.62999916
314,10-11-1951,,34.86999893,18.70000076
315,11-11-1951,,34.06000137,18.22999954
316,12-11-1951,,33.88999939,17.64999962
317,13-11-1951,,32.66999817,18.12999916
318,14-11-1951,,33.22000122,17.78000069
319,15-11-1951,,33.81999969,19.29999924
320,16-11-1951,,33,20.06999969
321,17-11-1951,,33.06000137,19.65999985
322,18-11-1951,,32.74000168,19.12999916
323,19-11-1951,,33.02000046,17.67000008
324,20-11-1951,,34.02000046,19.34000015
325,21-11-1951,,34.5,21.20000076
326,22-11-1951,,33.29000092,22.23999977
327,23-11-1951,,32.34000015,22.14999962
328,24-11-1951,,29.17000008,20.90999985
329,25-11-1951,,31.20999908,20.20999908
330,26-11-1951,,31.18000031,18.82999992
331,27-11-1951,,31.10000038,17.56999969
332,28-11-1951,,31.47999954,18.10000038
333,29-11-1951,,32.84999847,18.70999908
334,30-11-1951,,33.06000137,17.84000015
335,01-12-1951,,32.47999954,18.23999977
336,02-12-1951,,31.70000076,17.10000038
337,03-12-1951,,31.67000008,17.64999962
338,04-12-1951,,32.20999908,17.77000046
339,05-12-1951,,31.65999985,15.92000008
340,06-12-1951,,30.94000053,14.73999977
341,07-12-1951,,30.29999924,14.35000038
342,08-12-1951,,30.37000084,14.39000034
343,09-12-1951,,30.87999916,13.93000031
344,10-12-1951,,30.97999954,14.10000038
345,11-12-1951,,30.70999908,12.92000008
